cliente_id,empresa,sector,tipo_proyecto,valor_proyecto_eur,fecha_inicio,duracion_meses,estado,probabilidad_pct,fecha_cierre
CLI-001,InnovaTech Solutions SL,Tecnologia,Consultoria Internacional Recurrente,144500.0,2023-04-01,17,finalizado,100,2024-08-01
CLI-002,DataSmart Systems SA,Tecnologia,Consultoria Internacional Recurrente,408000.0,2023-01-01,40,activo,100,
CLI-003,CloudNet Espana SL,Tecnologia,Consultoria Internacional Recurrente,273000.0,2023-06-01,35,activo,100,
CLI-004,Nexus Software Group,Tecnologia,Consultoria Internacional Recurrente,380000.0,2023-01-01,40,activo,100,
CLI-005,CyberSecure Consulting,Tecnologia,Consultoria Internacional Recurrente,440000.0,2023-01-01,40,activo,100,
CLI-006,AppDigital Labs,Tecnologia,Consultoria Internacional Recurrente,240000.0,2023-01-01,40,activo,100,
CLI-007,BioTech Health SL,Tecnologia,Consultoria Internacional Recurrente,288000.0,2023-05-01,36,activo,100,
CLI-008,CampoVerde Export SA,Agroalimentario,Consultoria Internacional Recurrente,79200.0,2023-06-01,11,finalizado,100,2024-04-01
CLI-009,Alimentos del Sur SL,Agroalimentario,Consultoria Internacional Recurrente,90000.0,2023-04-01,10,finalizado,100,2024-01-01
CLI-010,Olivares del Mediterraneo,Agroalimentario,Consultoria Internacional Recurrente,253500.0,2023-02-01,39,activo,100,
CLI-011,Frutas y Hortalizas del Norte,Agroalimentario,Consultoria Internacional Recurrente,153000.0,2023-05-01,18,finalizado,100,2024-10-01
CLI-012,Conservas Artesanas SL,Agroalimentario,Consultoria Internacional Recurrente,192500.0,2023-06-01,35,activo,100,
CLI-013,Aceites y Olivares SL,Agroalimentario,Consultoria Internacional Recurrente,370000.0,2023-04-01,37,activo,100,
CLI-014,Embotellados del Norte SL,Agroalimentario,Consultoria Internacional Recurrente,285000.0,2023-03-01,38,activo,100,
CLI-015,InduSteel Components SA,Bienes Industriales,Consultoria Internacional Recurrente,500000.0,2023-01-01,40,activo,100,
